FID,CHSA_CD,CHSA_Area,Latitude,Longitude,Shape__Area,Shape__Length
1,1110,8043.8,49.417397,-114.917924,19065095661,1057610.38
2,1120,4473.71,49.552631,-115.593391,10602419936,752612.4112
3,1130,4345.66,49.804307,-116.055836,10421294217,675573.421
4,1140,10980.52,50.534955,-115.965026,27148198323,1131209.462
5,1150,3793.89,49.247658,-116.571432,8894436701,500296.5628
6,1160,13347.11,51.60957,-117.318897,34561924209,1335005.009
7,1210,6543.23,50.29662,-116.964848,16017767692,955782.6291
8,1220,4809.42,49.502751,-117.350074,11389351229,672090.004
9,1230,1942.58,49.398678,-117.914255,4587578619,442602.4329
10,1240,7391.98,50.241121,-117.783158,18051527985,959405.6889
11,1250,1131.23,49.124559,-117.809889,2641968183,251278.9552
12,1260,2691.95,49.34925,-118.401057,6337245332,479750.1328
13,1270,4347.28,49.413808,-118.944075,10260455230,562476.9987
14,1310,1304.34,49.20982,-119.448355,3053234225,264979.9484
15,1320,1562.86,49.535438,-119.529268,3708951672,390674.6515
16,1330,2479.93,49.222987,-120.03667,5813843181,454423.5768
17,1340,4826.04,49.465568,-120.567596,11414845339,719167.9246
18,1350,263.75,50.445902,-119.212326,649570853.3,154408.7995
19,1361,190.64,50.239894,-119.303996,465359685.4,213934.7726
20,1362,5394.88,50.261449,-118.75231,13186333443,1158390.715
21,1371,2324.37,49.980895,-119.26301,5612544102,802587.7585
22,1372,127.39,49.84386,-119.585506,306043202.3,101129.7924
23,1373,162.37,50.077117,-119.399741,393772779,102276.3344
24,1374,125.72,49.950001,-119.401823,303299751.1,95703.56881
25,1375,38.17,49.876283,-119.485844,91818478.95,57673.84481
26,1376,42,49.883441,-119.365549,101040325.2,45952.73891
27,1377,90.75,49.821989,-119.471217,217780453.3,86447.33379
28,1380,615.74,49.629565,-119.852005,1466250724,196597.3875
29,1390,1865.96,50.641937,-118.753164,4639201927,406896.7823
30,1410,9320.32,51.389437,-118.206429,23905589648,1063477.779
31,1420,3155.97,50.842622,-119.030894,7904718197,681680.5225
32,1431,252.48,50.728888,-120.298027,629788006.3,195003.6209
33,1432,204.49,50.650039,-120.315597,508064758,152164.6943
34,1433,16047.76,51.026278,-119.971276,40530721132,1551281.656
35,1440,10958.62,51.630916,-121.242638,28375283967,847261.1459
36,1450,12521.05,52.133973,-119.682727,33183315925,1177509.18
37,1462,12026.69,52.385671,-121.355064,32266424331,1262750.699
38,1470,7422.41,50.789007,-122.39113,18556882351,1011605.577
39,1480,9317.38,50.626936,-121.467749,23169755590,1372929.054
40,1490,6557.64,50.083169,-120.549031,15907532327,851085.8401
41,2110,5292.47,49.592517,-121.336747,12576500307,960566.9711
42,2121,1143.94,49.102573,-121.688776,2666421519,293974.133
43,2122,164.6,49.184957,-121.889327,384900296.9,147249.512
44,2131,8.81,49.048247,-122.292291,20498117.58,26230.17697
45,2132,83.15,49.091095,-122.191622,193704869.4,79770.52276
46,2133,20.17,49.060139,-122.335901,46932637.88,36562.05631
47,2134,299.72,49.027937,-122.372476,697618078.8,212502.034
48,2142,1425.94,49.400662,-122.273823,3363687412,429540.4598
49,2150,4111.86,49.680442,-122.046328,9818252211,748117.3423
50,2210,18.59,49.214744,-122.914242,43520225.75,33330.84704
51,2221,16.2,49.273549,-122.994662,38017834.23,28868.6954
52,2222,29.84,49.265624,-122.931331,70002729.62,35575.40686
53,2223,31.03,49.221844,-122.994161,72667506.41,40521.51182
54,2224,14.89,49.226176,-122.941219,34884913.16,30219.85447
55,2231,13.46,49.221694,-122.594828,31509566.95,28875.8513
56,2232,96.4,49.271344,-122.661486,226212553.9,87605.88736
57,2233,1350.62,49.585121,-122.565285,3210775144,507818.333
58,2241,606.63,49.442494,-122.736455,1433297810,183934.5275
59,2242,24.63,49.260824,-122.838651,57791504.18,46610.12655
60,2244,34.54,49.258314,-122.762147,80998448.95,46761.70438
61,2245,61.14,49.322649,-122.863,143766663.5,90001.11565
62,2311,10.22,49.09869,-122.659729,23821164.21,21937.85494
63,2313,21.91,49.138421,-122.649935,51144519.59,30726.93638
64,2314,23.45,49.080072,-122.638906,54601706.6,54082.41548
65,2315,16.4,49.056318,-122.503818,38149621.23,41811.5119
66,2316,109.7,49.116908,-122.530078,255829653.3,75383.49603
67,2317,102.09,49.033133,-122.575349,237288709.6,84889.1498
68,2321,21.1,49.142664,-122.907753,49262996.35,36988.31814
69,2323,20.32,49.025319,-123.078355,47211078.67,48869.05057
70,2332,18.64,49.190775,-122.871358,43609120.02,29816.52203
71,2333,71.48,49.108937,-122.731765,166634035.5,73172.79264
72,2334,39.4,49.09705,-122.829482,91810418.36,55261.42614
73,2335,21.9,49.135239,-122.82444,51101614.69,40643.1556
74,2336,15.83,49.159956,-122.78726,36969651.21,32682.93164
75,2337,53,49.18521,-122.751213,123950468.5,59215.88307
76,2338,9.81,49.14245,-122.877013,22895660.89,24453.94556
77,2341,81.27,49.040243,-122.755638,188942934.5,80129.05937
78,2342,5.12,49.025765,-122.805856,11906394.12,18840.04861
79,3111,9.8,49.173416,-123.135806,22900097.21,25505.04798
80,3112,4.6,49.149788,-123.158112,10733891.9,15053.256
81,3113,6.02,49.144519,-123.131014,14056506.61,14991.14721
82,3115,7.7,49.131049,-123.175713,17974527.64,22689.18329
83,3116,18.18,49.18678,-123.086514,42531224.97,31315.74247
84,3211,2.23,49.280217,-123.120886,5240671.961,18224.4146
85,3212,6.08,49.299411,-123.141112,14288773.02,22990.40404
86,3213,3.27,49.262517,-123.130412,7675609.234,15841.73091
87,3221,3.51,49.279709,-123.091058,8236807.984,22069.39875
88,3222,0.92,49.277153,-123.109479,2158263.602,8472.299469
89,3223,4.56,49.275921,-123.066658,10697269.97,19927.70836
90,3231,3.05,49.254077,-123.067698,7149916.766,12685.25415
91,3232,7.95,49.277275,-123.040193,18670633.66,19743.1736
92,3233,8.09,49.24746,-123.040167,18973934.28,19118.10132
93,3241,15.78,49.235762,-123.155689,36976459.13,32153.35321
94,3242,12.5,49.24874,-123.18788,29299237.3,38497.57956
95,3243,14.59,49.257812,-123.230285,34226720.88,31440.69019
96,3244,5.5,49.266406,-123.163248,12910970.06,17257.60056
97,3251,4.27,49.241611,-123.076791,10015311.68,13433.53291
98,3252,4.47,49.264138,-123.096788,10493450.23,13635.61893
99,3253,7.13,49.245117,-123.108979,16708577.35,16530.50535
100,3261,6.95,49.217664,-123.03757,16279360.15,17913.2765
101,3262,10.03,49.217294,-123.125923,23475387.95,21364.05194
102,3263,6.35,49.219516,-123.09195,14862079.23,15745.06945
103,3264,5.42,49.220468,-123.064104,12689919.19,14938.17692
104,3311,6.3,49.318343,-123.059224,14806813.58,25937.11147
105,3312,5.84,49.323241,-123.084631,13732889.77,17480.09345
106,3313,28.65,49.361279,-123.048382,67485475.66,48006.7724
107,3314,343.93,49.441082,-122.988975,812533813.1,168357.0808
108,3315,32.08,49.366337,-123.097947,75564743.7,50912.49338
109,3321,7.54,49.329978,-123.1464,17743101.55,24845.8875
110,3323,130.97,49.435343,-123.205162,309137470.3,138576.8708
111,3331,26.05,49.417805,-123.539507,61482231.74,45517.51572
112,3332,42.05,49.47685,-123.76103,99516670.56,96543.50382
113,3341,31.12,49.864232,-124.527978,74813294.98,58969.4786
114,3342,5194.26,50.185968,-124.346353,12702380057,1460978.778
115,3351,112.61,49.74915,-123.137426,269436357.2,187750.0278
116,3352,244.96,50.090356,-122.994228,594404438.5,115480.3521
117,3353,8844.45,50.254478,-123.148445,21615353289,1504589.531
118,3360,25204.55,52.352284,-126.307079,67443503486,3000329.686
119,3370,10712.99,51.992569,-128.048735,28450343223,10668351.87
120,4111,7.32,48.43691,-123.369149,16615276.58,32358.70215
121,4119,7.99,48.43506,-123.413007,18134455.65,34779.82679
122,4115,21.89,48.475426,-123.326314,49751547.12,57147.45443
123,4112,7.66,48.416407,-123.352996,17363822.45,26042.37221
124,4114,12.64,48.435997,-123.310424,28691613.25,70991.03846
125,4113,4.5,48.435247,-123.340208,10220027.88,15639.50198
126,4116,9.91,48.46452,-123.363375,22520855.48,23752.45822
127,4117,23.79,48.474028,-123.412062,54081414.91,42498.55218
128,4118,16.4,48.473552,-123.465784,37299244.9,55258.97643
129,4121,17.69,48.426319,-123.486492,40140499.98,41388.39591
130,4122,74.72,48.376706,-123.571276,169225597.9,124318.4559
131,4123,87.62,48.488723,-123.513598,199305253,98570.47085
132,4124,88.4,48.369415,-123.688722,200238233.9,172326.3664
133,4125,1474.55,48.534585,-124.012626,3360187947,443831.4638
134,4131,47.15,48.521643,-123.405647,107386242.5,47573.43293
135,4132,46.15,48.581063,-123.421695,105355751.2,56663.23462
136,4133,40.36,48.653181,-123.432566,92413584.13,74755.27504
137,4134,5.08,48.651901,-123.407049,11640871.13,20208.17974
138,4141,185.66,48.813769,-123.497312,427783482.6,214234.157
139,4142,191.03,48.873478,-123.332212,440270049.4,672998.8144
140,4211,237.7,48.620568,-123.59754,543591306.8,181580.3838
141,4212,505.64,48.765509,-123.739826,1162799781,243308.6188
142,4220,2378.13,48.823213,-124.337145,5476514494,593684.9153
143,4233,18.49,48.921862,-123.731493,42803364.31,61339.68254
144,4234,48.49,49.044989,-123.635938,112699630.4,167857.6758
145,4241,14.14,49.17666,-123.948806,33046757.27,52376.85108
146,4242,21.09,49.205567,-123.994766,49362217.92,38282.27347
147,4243,48.59,49.23366,-124.054772,113830503.6,93839.77652
148,4244,27.65,49.131872,-123.902169,64523672.98,99224.18991
149,4245,1080.07,49.118068,-124.276946,2518935476,495997.0324
150,4246,62.39,49.087145,-123.847438,145324533.6,76393.40963
151,4247,58.08,49.159837,-123.789575,135668224.5,132508.5454
152,4251,16.81,49.317799,-124.301624,39512025.06,49491.2186
153,4252,17.99,49.345394,-124.429288,42353450.52,42437.6438
154,4253,811.24,49.308634,-124.526599,1907748924,721685.944
155,4261,49.21,49.274198,-124.836838,115480372.4,98002.39185
156,4262,3492.71,49.14445,-125.013971,8154132358,1253313.956
157,4263,3338.82,49.2452,-125.69306,7840646076,2467534.006
158,4311,72.27,49.72771,-124.92234,172747716.1,113991.6172
159,4312,1640.95,49.665467,-125.170048,3911801722,557320.882
160,4321,150.84,50.003179,-125.294254,364694210.9,148220.9476
161,4342,89.5,50.644283,-126.997983,222229265.5,123613.3378
162,5101,5251.95,52.817749,-131.936138,14451855996,4695214.475
163,5102,4791.1,53.837812,-132.492974,13734639348,1969688.267
164,5121,54.97,54.279013,-130.306818,160928238.1,102205.5601
165,5130,4461.98,55.290582,-127.489005,13729752310,677266.5667
166,5141,73.37,54.808739,-127.245443,220399728,93085.60075
167,5142,4232.63,54.71122,-127.149333,12647703812,785956.5383
168,5143,5637.44,54.176605,-127.296955,16405141312,911343.1562
169,5150,19598.68,53.398844,-128.64864,55243138777,8572711.758
170,5160,132240.59,58.594773,-129.960236,4.88E+11,6652227.534
171,5171,26.67,54.521318,-128.620052,78988642.97,62768.69436
172,5172,13200.93,54.747105,-128.554275,39547038279,1415233.053
173,5190,23942.51,57.520185,-130.77409,82777641319,1324428.841
174,5211,39.51,52.987638,-122.475644,108831128.8,86842.25648
