FID,CHSA_CD,CHSA_Name,CHSA_Title,CHSA_Pop16,CHSA_UR_Cl,CHSA_Pop16,LHA_CD
1,1110,Fernie,1110 Fernie,15531,5 Rural Hub,15531,111
2,1120,Cranbrook,1120 Cranbrook,26248,4 Small Urban,26248,112
3,1130,Kimberley,1130 Kimberley,9178,6 Rural,9178,113
4,1140,Windermere,1140 Windermere,9487,6 Rural,9487,114
5,1150,Creston,1150 Creston,12634,6 Rural,12634,115
6,1160,Golden,1160 Golden,6851,6 Rural,6851,116
7,1210,Kootenay Lake,1210 Kootenay Lake,3209,6 Rural,3209,121
8,1220,Nelson,1220 Nelson,25523,6 Rural,25523,122
9,1230,Castlegar,1230 Castlegar,13710,5 Rural Hub,13710,123
10,1240,Arrow Lakes,1240 Arrow Lakes,4501,6 Rural,4501,124
11,1250,Trail,1250 Trail,19367,4 Small Urban,19367,125
12,1260,Grand Forks,1260 Grand Forks,8611,6 Rural,8611,126
13,1270,Kettle Valley,1270 Kettle Valley,3469,6 Rural,3469,127
14,1310,Southern Okanagan,1310 Southern Okanagan,19231,5 Rural Hub,19231,131
15,1320,Penticton,1320 Penticton,41799,3 Medium Urban,41799,132
16,1330,Keremeos,1330 Keremeos,5101,6 Rural,5101,133
17,1340,Princeton,1340 Princeton,4781,5 Rural Hub,4781,134
18,1350,Armstrong/Spallumcheen,1350 Armstrong/Spallumcheen,10220,5 Rural Hub,10220,135
19,1361,Vernon Centre/Coldstream,1361 Vernon Centre/Coldstream,53266,3 Medium Urban,53266,136
20,1362,North Okanagan/Lumby,1362 North Okanagan/Lumby,13583,6 Rural,13583,136
21,1371,Central Okanagan Rural,1371 Central Okanagan Rural,8720,5 Rural Hub,8720,137
22,1372,West Kelowna,1372 West Kelowna,41482,2 Large Urban,41482,137
23,1373,Lake Country,1373 Lake Country,12922,6 Rural,12922,137
24,1374,Glenmore,1374 Glenmore,33401,2 Large Urban,33401,137
25,1375,Downtown Kelowna,1375 Downtown Kelowna,38661,2 Large Urban,38661,137
26,1376,Rutland,1376 Rutland,34796,2 Large Urban,34796,137
27,1377,Okanagan Mission,1377 Okanagan Mission,24900,2 Large Urban,24900,137
28,1380,Summerland,1380 Summerland,12110,5 Rural Hub,12110,138
29,1390,Enderby,1390 Enderby,7285,6 Rural,7285,139
30,1410,Revelstoke,1410 Revelstoke,8085,5 Rural Hub,8085,141
31,1420,Salmon Arm,1420 Salmon Arm,33648,4 Small Urban,33648,142
32,1431,Kamloops Centre North,1431 Kamloops Centre North,44714,3 Medium Urban,44714,143
33,1432,Kamloops Centre South,1432 Kamloops Centre South,48587,3 Medium Urban,48587,143
34,1433,Lower Thompson,1433 Lower Thompson,19986,6 Rural,19986,143
35,1440,100 Mile House,1440 100 Mile House,14112,6 Rural,14112,144
36,1450,North Thompson,1450 North Thompson,4050,6 Rural,4050,145
37,1462,Williams Lake/East Cariboo,1462 Williams Lake/East Cariboo,22165,6 Rural,22165,146
38,1470,Lillooet,1470 Lillooet,4012,6 Rural,4012,147
39,1480,South Cariboo,1480 South Cariboo,6548,6 Rural,6548,148
40,1490,Merritt,1490 Merritt,10855,6 Rural,10855,149
41,2110,Hope,2110 Hope,8129,5 Rural Hub,8129,211
42,2121,South Chilliwack,2121 South Chilliwack,51241,3 Medium Urban,51241,212
43,2122,North Chilliwack,2122 North Chilliwack,41936,3 Medium Urban,41936,212
44,2131,Central Abbotsford,2131 Central Abbotsford,22754,2 Large Urban,22754,213
45,2132,East Abbotsford,2132 East Abbotsford,35584,2 Large Urban,35584,213
46,2133,West Abbotsford,2133 West Abbotsford,58511,2 Large Urban,58511,213
47,2134,Abbotsford Rural,2134 Abbotsford Rural,24836,6 Rural,24836,213
48,2142,North Mission,2142 North Mission,16854,6 Rural,16854,214
49,2150,Agassiz/Harrison,2150 Agassiz/Harrison,9696,5 Rural Hub,9696,215
50,2210,New Westminster,2210 New Westminster,70996,1 Metropolitan,70996,221
51,2221,Burnaby Northwest,2221 Burnaby Northwest,47161,1 Metropolitan,47161,222
52,2222,Burnaby Northeast,2222 Burnaby Northeast,45434,1 Metropolitan,45434,222
53,2223,Burnaby Southwest,2223 Burnaby Southwest,81414,1 Metropolitan,81414,222
