FID,LHA_CD,LHA_Name,LHA_Title,LHA_CD1997,HSDA_CD,HSDA_ID,HSDA_Name,HSDA_Title,HA_CD,HA_ID,HA_Name,HA_Title,LHA_Pop16,LHA_Area,Latitude,Longitude,Shape__Area,Shape__Length
1,111,Fernie,111 Fernie,1,11,11 EK,East Kootenay,11 East Kootenay,1,1 IHA,Interior,1 Interior,15531,8043.8,49.511965,-114.946559,19065095661,1057610.38
2,112,Cranbrook,112 Cranbrook,2,11,11 EK,East Kootenay,11 East Kootenay,1,1 IHA,Interior,1 Interior,26248,4473.71,49.513397,-115.597625,10602419936,752612.4112
3,113,Kimberley,113 Kimberley,3,11,11 EK,East Kootenay,11 East Kootenay,1,1 IHA,Interior,1 Interior,9178,4345.66,49.804307,-116.055836,10421294217,675573.421
4,114,Windermere,114 Windermere,4,11,11 EK,East Kootenay,11 East Kootenay,1,1 IHA,Interior,1 Interior,9487,10980.52,50.534955,-115.965026,27148198323,1131209.462
5,115,Creston,115 Creston,5,11,11 EK,East Kootenay,11 East Kootenay,1,1 IHA,Interior,1 Interior,12634,3793.89,49.247658,-116.571432,8894436701,500296.5628
6,116,Golden,116 Golden,18,11,11 EK,East Kootenay,11 East Kootenay,1,1 IHA,Interior,1 Interior,6851,13347.11,51.60957,-117.318897,34561924209,1335005.009
7,121,Kootenay Lake,121 Kootenay Lake,6,12,12 KB,Kootenay Boundary,12 Kootenay Boundary,1,1 IHA,Interior,1 Interior,3209,6543.23,50.29662,-116.964848,16017767692,955782.6291
8,122,Nelson,122 Nelson,7,12,12 KB,Kootenay Boundary,12 Kootenay Boundary,1,1 IHA,Interior,1 Interior,25523,4809.42,49.522782,-117.326334,11389351229,672090.004
9,123,Castlegar,123 Castlegar,9,12,12 KB,Kootenay Boundary,12 Kootenay Boundary,1,1 IHA,Interior,1 Interior,13710,1942.58,49.398678,-117.914255,4587578619,442602.4329
10,124,Arrow Lakes,124 Arrow Lakes,10,12,12 KB,Kootenay Boundary,12 Kootenay Boundary,1,1 IHA,Interior,1 Interior,4501,7391.98,50.241121,-117.783158,18051527985,959405.6889
11,125,Trail,125 Trail,11,12,12 KB,Kootenay Boundary,12 Kootenay Boundary,1,1 IHA,Interior,1 Interior,19367,1131.23,49.124559,-117.809889,2641968183,251278.9552
12,126,Grand Forks,126 Grand Forks,12,12,12 KB,Kootenay Boundary,12 Kootenay Boundary,1,1 IHA,Interior,1 Interior,8611,2691.95,49.34925,-118.401057,6337245332,479750.1328
13,127,Kettle Valley,127 Kettle Valley,13,12,12 KB,Kootenay Boundary,12 Kootenay Boundary,1,1 IHA,Interior,1 Interior,3469,4347.28,49.413808,-118.944075,10260455230,562476.9987
14,131,Southern Okanagan,131 Southern Okanagan,14,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,19231,1304.34,49.20982,-119.448355,3053234225,264979.9484
15,132,Penticton,132 Penticton,15,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,41799,1562.86,49.541901,-119.525423,3708951672,390674.6515
16,133,Keremeos,133 Keremeos,16,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,5101,2479.93,49.222987,-120.03667,5813843181,454423.5768
