animal_reference_id,animal_project_reference,datacenter_reference,animals_details_id,animal_origin,stock,length,length_type,weight,life_stage,sex
,,,,,,,,,,
FRO-T14,FRO,OTN-Global,1,W,UNK,0.561,FORK,2.35,JUVENILE,U
FRO-T2,FRO,OTN-Global,2,W,UNK,0.576,FORK,2.53,JUVENILE,U
FRO-T25,FRO,OTN-Global,3,W,UNK,0.57,FORK,2.41,JUVENILE,U
FRO-T26,FRO,OTN-Global,4,W,UNK,0.6,FORK,2.8,JUVENILE,U
FRO-T27,FRO,OTN-Global,5,W,UNK,0.55,FORK,2.17,JUVENILE,U
FRO-T28,FRO,OTN-Global,6,W,UNK,0.49,FORK,1.55,JUVENILE,U
FRO-T29,FRO,OTN-Global,7,W,UNK,0.45,FORK,1.24,JUVENILE,U
FRO-T5,FRO,OTN-Global,8,W,UNK,0.521,FORK,1.89,JUVENILE,U
FRO-T1,FRO,OTN-Global,9,W,UNK,0.556,FORK,2.29,JUVENILE,U
FRO-T41,FRO,OTN-Global,10,W,UNK,0.54,FORK,2.15,JUVENILE,U
FRO-T8,FRO,OTN-Global,11,W,UNK,0.588,FORK,2.69,JUVENILE,U
FRO-T7,FRO,OTN-Global,12,W,UNK,0.64,FORK,3.44,JUVENILE,U
FRO-T4,FRO,OTN-Global,13,W,UNK,0.54,FORK,2.1,JUVENILE,U
FRO-T6,FRO,OTN-Global,14,W,UNK,0.612,FORK,3.02,JUVENILE,U
FRO-T9,FRO,OTN-Global,15,W,UNK,0.6,FORK,2.85,JUVENILE,U
FRO-T10,FRO,OTN-Global,16,W,UNK,0.544,FORK,2.15,JUVENILE,U
FRO-T13,FRO,OTN-Global,17,W,UNK,0.586,FORK,2.66,JUVENILE,U
FRO-T11,FRO,OTN-Global,18,W,UNK,0.596,FORK,2.8,JUVENILE,U
FRO-T12,FRO,OTN-Global,19,W,UNK,0.54,FORK,2.1,JUVENILE,U
FRO-T33,FRO,OTN-Global,20,W,UNK,0.53,FORK,1.97,JUVENILE,U
FRO-T31,FRO,OTN-Global,21,W,UNK,0.53,FORK,1.99,JUVENILE,U
FRO-T32,FRO,OTN-Global,22,W,UNK,0.57,FORK,2.41,JUVENILE,U
FRO-T16,FRO,OTN-Global,23,W,UNK,0.554,FORK,2.26,JUVENILE,U
FRO-T35,FRO,OTN-Global,24,W,UNK,0.31,FORK,0.4,JUVENILE,U
FRO-T30,FRO,OTN-Global,25,W,UNK,0.36,FORK,0.66,JUVENILE,U
FRO-T34,FRO,OTN-Global,26,W,UNK,0.33,FORK,0.5,JUVENILE,U
FRO-T37,FRO,OTN-Global,27,W,UNK,0.31,FORK,0.43,JUVENILE,U
FRO-T36,FRO,OTN-Global,28,W,UNK,0.32,FORK,0.46,JUVENILE,U
FRO-T18,FRO,OTN-Global,29,W,UNK,0.519,FORK,1.87,JUVENILE,U
FRO-T17,FRO,OTN-Global,30,W,UNK,0.556,FORK,2.29,JUVENILE,U
FRO-T19,FRO,OTN-Global,31,W,UNK,0.634,FORK,3.34,JUVENILE,U
FRO-T20,FRO,OTN-Global,32,W,UNK,0.585,FORK,2.65,JUVENILE,U
FRO-T15,FRO,OTN-Global,33,W,UNK,0.569,FORK,2.44,JUVENILE,U
FRO-T24,FRO,OTN-Global,34,W,UNK,0.57,FORK,2.48,JUVENILE,U
FRO-T22,FRO,OTN-Global,35,W,UNK,0.646,FORK,3.53,JUVENILE,U
FRO-T21,FRO,OTN-Global,36,W,UNK,0.61,FORK,2.99,JUVENILE,U
FRO-T23,FRO,OTN-Global,37,W,UNK,0.58,FORK,2.58,JUVENILE,U
FRO-T42,FRO,OTN-Global,38,W,UNK,0.6,FORK,1.91,JUVENILE,U
FRO-T43,FRO,OTN-Global,39,W,UNK,0.278,FORK,0.12,JUVENILE,U
FRO-T44,FRO,OTN-Global,40,W,UNK,0.492,FORK,1,JUVENILE,U
FRO-T45,FRO,OTN-Global,41,W,UNK,0.329,FORK,0.31,JUVENILE,U
FRO-T46,FRO,OTN-Global,42,W,UNK,0.714,FORK,3.82,JUVENILE,U
FRO-T47,FRO,OTN-Global,43,W,UNK,0.6,FORK,2.2,JUVENILE,U
FRO-T48,FRO,OTN-Global,44,W,UNK,0.567,FORK,1.84,JUVENILE,U
FRO-T49,FRO,OTN-Global,45,W,UNK,0.619,FORK,2.43,JUVENILE,U
FRO-T50,FRO,OTN-Global,46,W,UNK,0.534,FORK,1.52,JUVENILE,U
FRO-T51,FRO,OTN-Global,47,W,UNK,0.616,FORK,2.39,JUVENILE,U
FRO-T52,FRO,OTN-Global,48,W,UNK,0.618,FORK,2.42,JUVENILE,U
FRO-T53,FRO,OTN-Global,49,W,UNK,0.566,FORK,1.83,JUVENILE,U
FRO-T54,FRO,OTN-Global,50,W,UNK,0.507,FORK,1.29,JUVENILE,U
FRO-T55,FRO,OTN-Global,51,W,UNK,0.579,FORK,1.96,JUVENILE,U
FRO-T56,FRO,OTN-Global,52,W,UNK,0.525,FORK,1.44,JUVENILE,U
FRO-T57,FRO,OTN-Global,53,W,UNK,0.32,FORK,0.3,JUVENILE,U
FRO-T58,FRO,OTN-Global,54,W,UNK,0.509,FORK,1.31,JUVENILE,U
FRO-T59,FRO,OTN-Global,55,W,UNK,0.37,FORK,0.47,JUVENILE,U
FRO-T60,FRO,OTN-Global,56,W,UNK,0.545,FORK,1.62,JUVENILE,U
FRO-T61,FRO,OTN-Global,57,W,UNK,0.533,FORK,1.3,JUVENILE,U
FRO-T39,FRO,OTN-Global,58,W,UNK,0.62,FORK,3.08,JUVENILE,U
FRO-T38,FRO,OTN-Global,59,W,UNK,0.53,FORK,1.99,JUVENILE,U
FRO-T3,FRO,OTN-Global,60,W,UNK,0.594,FORK,2.77,JUVENILE,U
FRO-T40,FRO,OTN-Global,61,W,UNK,0.54,FORK,2.08,JUVENILE,U
MCS-50934,MCS,OTN-Global,62,H,EAST MACHIAS,0.64,FORK,0,ADULT,F
MCS-50935,MCS,OTN-Global,63,H,EAST MACHIAS,0.7,FORK,0,ADULT,F
MCS-50945,MCS,OTN-Global,64,H,EAST MACHIAS,0.655,FORK,0,ADULT,F
MCS-50946,MCS,OTN-Global,65,H,EAST MACHIAS,0.795,FORK,0,ADULT,F
MCS-50928,MCS,OTN-Global,66,H,EAST MACHIAS,0.785,FORK,0,ADULT,M
MCS-50929,MCS,OTN-Global,67,H,EAST MACHIAS,0.88,FORK,0,ADULT,M
MCS-50931,MCS,OTN-Global,68,H,EAST MACHIAS,0.8,FORK,0,ADULT,M
MCS-50932,MCS,OTN-Global,69,H,EAST MACHIAS,0.765,FORK,0,ADULT,M
MCS-50933,MCS,OTN-Global,70,H,EAST MACHIAS,0.8,FORK,0,ADULT,M
MCS-16265,MCS,OTN-Global,71,H,EAST MACHIAS,0.78,FORK,0,ADULT,M
MCS-16268,MCS,OTN-Global,72,H,EAST MACHIAS,0.76,FORK,0,ADULT,M
MCS-50937,MCS,OTN-Global,73,H,EAST MACHIAS,0.71,FORK,0,ADULT,F
MCS-50938,MCS,OTN-Global,74,H,EAST MACHIAS,0.72,FORK,0,ADULT,F
MCS-50939,MCS,OTN-Global,75,H,EAST MACHIAS,0.72,FORK,0,ADULT,F
MCS-50940,MCS,OTN-Global,76,H,EAST MACHIAS,0.72,FORK,0,ADULT,F
MCS-50941,MCS,OTN-Global,77,H,EAST MACHIAS,0.72,FORK,0,ADULT,F
MCS-50936,MCS,OTN-Global,78,H,EAST MACHIAS,0.685,FORK,0,ADULT,F
MCS-50942,MCS,OTN-Global,79,H,EAST MACHIAS,0.825,FORK,0,ADULT,F
MCS-50943,MCS,OTN-Global,80,H,EAST MACHIAS,0.735,FORK,0,ADULT,F
MCS-50944,MCS,OTN-Global,81,H,EAST MACHIAS,0.64,FORK,0,ADULT,F
MCS-50947,MCS,OTN-Global,82,H,EAST MACHIAS,0.72,FORK,0,ADULT,F
MCS-50948,MCS,OTN-Global,83,H,EAST MACHIAS,0.78,FORK,0,ADULT,F
MCS-50949,MCS,OTN-Global,84,H,EAST MACHIAS,0.75,FORK,0,ADULT,F
MCS-50950,MCS,OTN-Global,85,H,EAST MACHIAS,0.76,FORK,0,ADULT,F
MCS-50951,MCS,OTN-Global,86,H,EAST MACHIAS,0.825,FORK,0,ADULT,F
MCS-50953,MCS,OTN-Global,87,H,EAST MACHIAS,0.725,FORK,0,ADULT,F
MCS-50954,MCS,OTN-Global,88,H,EAST MACHIAS,0.69,FORK,0,ADULT,F
MCS-50925,MCS,OTN-Global,89,H,EAST MACHIAS,0.79,FORK,0,ADULT,M
MCS-50926,MCS,OTN-Global,90,H,EAST MACHIAS,0.84,FORK,0,ADULT,M
MCS-50927,MCS,OTN-Global,91,H,EAST MACHIAS,0.8,FORK,0,ADULT,M
NSBS-ALI,NSBS,OTN-Global,92,W,NW Atlantic,1.5748,FORK,0,JUVENILE,F
NSBS-1248829-2017-08-22-11270,NSBS,OTN-Global,93,W,NW Atlantic,1.04,FORK,0,JUVENILE,F
NSBS-1248828-2017-08-27-11268,NSBS,OTN-Global,94,W,NW Atlantic,1.37,FORK,0,JUVENILE,F
NSBS-1248827-2017-08-22-11266,NSBS,OTN-Global,95,W,NW Atlantic,1.77,FORK,0,JUVENILE,F
NSBS-1248826-2017-08-25-11264,NSBS,OTN-Global,96,W,NW Atlantic,1.52,FORK,0,JUVENILE,F
NSBS-1248825-2017-08-22-11262,NSBS,OTN-Global,97,W,NW Atlantic,1.68,FORK,0,JUVENILE,F
NSBS-1248829-2017-08-22-11269,NSBS,OTN-Global,98,W,NW Atlantic,1.04,FORK,0,JUVENILE,F
NSBS-1248828-2017-08-27-11267,NSBS,OTN-Global,99,W,NW Atlantic,1.37,FORK,0,JUVENILE,F
NSBS-1248827-2017-08-22-11265,NSBS,OTN-Global,100,W,NW Atlantic,1.77,FORK,0,JUVENILE,F
NSBS-1248826-2017-08-25-11263,NSBS,OTN-Global,101,W,NW Atlantic,1.52,FORK,0,JUVENILE,F
NSBS-1248825-2017-08-22-11261,NSBS,OTN-Global,102,W,NW Atlantic,1.68,FORK,0,JUVENILE,F
NSBS-Eva,NSBS,OTN-Global,103,W,NW Atlantic,1.6,FORK,32.65,JUVENILE,F
NSBS-Percy,NSBS,OTN-Global,104,W,NW Atlantic,1.38,FORK,19.5,JUVENILE,F
NSBS-Riley,NSBS,OTN-Global,105,W,NW Atlantic,1.58,FORK,29.71,JUVENILE,F
NSBS-Meeko,NSBS,OTN-Global,106,W,NW Atlantic,1.3,FORK,16.85,JUVENILE,F
NSBS-Sophie,NSBS,OTN-Global,107,W,NW Atlantic,1.53,FORK,25.29,JUVENILE,F
NSBS-Brandy,NSBS,OTN-Global,108,W,NW Atlantic,1.4,FORK,22.81,JUVENILE,F
NSBS-Lucy,NSBS,OTN-Global,109,W,NW Atlantic,1.62,FORK,27.6,JUVENILE,F
NSBS-Xena,NSBS,OTN-Global,110,W,NW Atlantic,1.64,FORK,40.46,JUVENILE,F
NSBS-Leia,NSBS,OTN-Global,111,W,NW Atlantic,1.37,FORK,21,JUVENILE,F
NSBS-Hayley,NSBS,OTN-Global,112,W,NW Atlantic,1.51,FORK,25,JUVENILE,F
NSBS-Blueberry,NSBS,OTN-Global,113,W,NW Atlantic,1.52,FORK,25.12,JUVENILE,F
NSBS-Finnigan,NSBS,OTN-Global,114,W,NW Atlantic,1.43,FORK,21.9,JUVENILE,F
NSBS-Wryley,NSBS,OTN-Global,115,W,NW Atlantic,1.16,FORK,7.57,JUVENILE,F
NSBS-Brianna,NSBS,OTN-Global,116,W,NW Atlantic,1.41,FORK,21.59,JUVENILE,F
NSBS-Tika,NSBS,OTN-Global,117,W,NW Atlantic,1.52,FORK,25.12,JUVENILE,F
NSBS-Janina,NSBS,OTN-Global,118,W,NW Atlantic,1.49,FORK,25.09,JUVENILE,F
NSBS-Lola,NSBS,OTN-Global,119,W,NW Atlantic,1.39,FORK,18.14,JUVENILE,F
NSBS-Alyssa,NSBS,OTN-Global,120,W,NW Atlantic,1.56,FORK,27.71,JUVENILE,F
NSBS-Ophelia,NSBS,OTN-Global,121,W,NW Atlantic,1.29,FORK,10.52,JUVENILE,F
