animals_details_id,vernacularname,scientificname,aphiaid,tsn
,,,,
1,Arctic char,Salvelinus alpinus,127188,162001
2,Arctic char,Salvelinus alpinus,127188,162001
3,Arctic char,Salvelinus alpinus,127188,162001
4,Arctic char,Salvelinus alpinus,127188,162001
5,Arctic char,Salvelinus alpinus,127188,162001
6,Arctic char,Salvelinus alpinus,127188,162001
7,Arctic char,Salvelinus alpinus,127188,162001
8,Arctic char,Salvelinus alpinus,127188,162001
9,Arctic char,Salvelinus alpinus,127188,162001
10,Arctic char,Salvelinus alpinus,127188,162001
11,Arctic char,Salvelinus alpinus,127188,162001
12,Arctic char,Salvelinus alpinus,127188,162001
13,Arctic char,Salvelinus alpinus,127188,162001
14,Arctic char,Salvelinus alpinus,127188,162001
15,Arctic char,Salvelinus alpinus,127188,162001
16,Arctic char,Salvelinus alpinus,127188,162001
17,Arctic char,Salvelinus alpinus,127188,162001
18,Arctic char,Salvelinus alpinus,127188,162001
19,Arctic char,Salvelinus alpinus,127188,162001
20,Arctic char,Salvelinus alpinus,127188,162001
21,Arctic char,Salvelinus alpinus,127188,162001
22,Arctic char,Salvelinus alpinus,127188,162001
23,Arctic char,Salvelinus alpinus,127188,162001
24,Arctic char,Salvelinus alpinus,127188,162001
25,Arctic char,Salvelinus alpinus,127188,162001
26,Arctic char,Salvelinus alpinus,127188,162001
27,Arctic char,Salvelinus alpinus,127188,162001
28,Arctic char,Salvelinus alpinus,127188,162001
29,Arctic char,Salvelinus alpinus,127188,162001
30,Arctic char,Salvelinus alpinus,127188,162001
31,Arctic char,Salvelinus alpinus,127188,162001
32,Arctic char,Salvelinus alpinus,127188,162001
33,Arctic char,Salvelinus alpinus,127188,162001
34,Arctic char,Salvelinus alpinus,127188,162001
35,Arctic char,Salvelinus alpinus,127188,162001
36,Arctic char,Salvelinus alpinus,127188,162001
37,Arctic char,Salvelinus alpinus,127188,162001
38,Arctic char,Salvelinus alpinus,127188,162001
39,Arctic char,Salvelinus alpinus,127188,162001
40,Arctic char,Salvelinus alpinus,127188,162001
41,Arctic char,Salvelinus alpinus,127188,162001
42,Arctic char,Salvelinus alpinus,127188,162001
43,Arctic char,Salvelinus alpinus,127188,162001
44,Arctic char,Salvelinus alpinus,127188,162001
45,Arctic char,Salvelinus alpinus,127188,162001
46,Arctic char,Salvelinus alpinus,127188,162001
47,Arctic char,Salvelinus alpinus,127188,162001
48,Arctic char,Salvelinus alpinus,127188,162001
49,Arctic char,Salvelinus alpinus,127188,162001
50,Arctic char,Salvelinus alpinus,127188,162001
51,Arctic char,Salvelinus alpinus,127188,162001
52,Arctic char,Salvelinus alpinus,127188,162001
53,Arctic char,Salvelinus alpinus,127188,162001
54,Arctic char,Salvelinus alpinus,127188,162001
55,Arctic char,Salvelinus alpinus,127188,162001
56,Arctic char,Salvelinus alpinus,127188,162001
57,Arctic char,Salvelinus alpinus,127188,162001
58,Arctic char,Salvelinus alpinus,127188,162001
59,Arctic char,Salvelinus alpinus,127188,162001
60,Arctic char,Salvelinus alpinus,127188,162001
61,Arctic char,Salvelinus alpinus,127188,162001
62,Atlantic salmon,Salmo salar,127186,161996
63,Atlantic salmon,Salmo salar,127186,161996
64,Atlantic salmon,Salmo salar,127186,161996
65,Atlantic salmon,Salmo salar,127186,161996
66,Atlantic salmon,Salmo salar,127186,161996
67,Atlantic salmon,Salmo salar,127186,161996
68,Atlantic salmon,Salmo salar,127186,161996
69,Atlantic salmon,Salmo salar,127186,161996
70,Atlantic salmon,Salmo salar,127186,161996
71,Atlantic salmon,Salmo salar,127186,161996
72,Atlantic salmon,Salmo salar,127186,161996
73,Atlantic salmon,Salmo salar,127186,161996
74,Atlantic salmon,Salmo salar,127186,161996
75,Atlantic salmon,Salmo salar,127186,161996
76,Atlantic salmon,Salmo salar,127186,161996
77,Atlantic salmon,Salmo salar,127186,161996
78,Atlantic salmon,Salmo salar,127186,161996
79,Atlantic salmon,Salmo salar,127186,161996
80,Atlantic salmon,Salmo salar,127186,161996
81,Atlantic salmon,Salmo salar,127186,161996
82,Atlantic salmon,Salmo salar,127186,161996
83,Atlantic salmon,Salmo salar,127186,161996
84,Atlantic salmon,Salmo salar,127186,161996
85,Atlantic salmon,Salmo salar,127186,161996
86,Atlantic salmon,Salmo salar,127186,161996
87,Atlantic salmon,Salmo salar,127186,161996
88,Atlantic salmon,Salmo salar,127186,161996
89,Atlantic salmon,Salmo salar,127186,161996
90,Atlantic salmon,Salmo salar,127186,161996
91,Atlantic salmon,Salmo salar,127186,161996
92,blue shark,Prionace glauca,105801,160424
93,blue shark,Prionace glauca,105801,160424
94,blue shark,Prionace glauca,105801,160424
95,blue shark,Prionace glauca,105801,160424
96,blue shark,Prionace glauca,105801,160424
97,blue shark,Prionace glauca,105801,160424
98,blue shark,Prionace glauca,105801,160424
99,blue shark,Prionace glauca,105801,160424
100,blue shark,Prionace glauca,105801,160424
101,blue shark,Prionace glauca,105801,160424
102,blue shark,Prionace glauca,105801,160424
103,blue shark,Prionace glauca,105801,160424
104,blue shark,Prionace glauca,105801,160424
105,blue shark,Prionace glauca,105801,160424
106,blue shark,Prionace glauca,105801,160424
107,blue shark,Prionace glauca,105801,160424
108,blue shark,Prionace glauca,105801,160424
109,blue shark,Prionace glauca,105801,160424
110,blue shark,Prionace glauca,105801,160424
111,blue shark,Prionace glauca,105801,160424
112,blue shark,Prionace glauca,105801,160424
113,blue shark,Prionace glauca,105801,160424
114,blue shark,Prionace glauca,105801,160424
115,blue shark,Prionace glauca,105801,160424
116,blue shark,Prionace glauca,105801,160424
117,blue shark,Prionace glauca,105801,160424
118,blue shark,Prionace glauca,105801,160424
119,blue shark,Prionace glauca,105801,160424
120,blue shark,Prionace glauca,105801,160424
121,blue shark,Prionace glauca,105801,160424
122,blue shark,Prionace glauca,105801,160424
123,blue shark,Prionace glauca,105801,160424
124,blue shark,Prionace glauca,105801,160424
125,blue shark,Prionace glauca,105801,160424
126,blue shark,Prionace glauca,105801,160424
127,blue shark,Prionace glauca,105801,160424
128,blue shark,Prionace glauca,105801,160424
129,blue shark,Prionace glauca,105801,160424
130,blue shark,Prionace glauca,105801,160424
131,blue shark,Prionace glauca,105801,160424
132,blue shark,Prionace glauca,105801,160424
133,blue shark,Prionace glauca,105801,160424
134,blue shark,Prionace glauca,105801,160424
135,blue shark,Prionace glauca,105801,160424
136,blue shark,Prionace glauca,105801,160424
137,blue shark,Prionace glauca,105801,160424
138,blue shark,Prionace glauca,105801,160424
139,blue shark,Prionace glauca,105801,160424
140,blue shark,Prionace glauca,105801,160424
141,blue shark,Prionace glauca,105801,160424
142,blue shark,Prionace glauca,105801,160424
143,blue shark,Prionace glauca,105801,160424
144,blue shark,Prionace glauca,105801,160424
145,blue shark,Prionace glauca,105801,160424
146,blue shark,Prionace glauca,105801,160424
147,blue shark,Prionace glauca,105801,160424
148,blue shark,Prionace glauca,105801,160424
149,blue shark,Prionace glauca,105801,160424
150,blue shark,Prionace glauca,105801,160424
151,blue shark,Prionace glauca,105801,160424
152,blue shark,Prionace glauca,105801,160424
153,blue shark,Prionace glauca,105801,160424
154,blue shark,Prionace glauca,105801,160424
155,blue shark,Prionace glauca,105801,160424
156,blue shark,Prionace glauca,105801,160424
157,blue shark,Prionace glauca,105801,160424
158,blue shark,Prionace glauca,105801,160424
159,blue shark,Prionace glauca,105801,160424
160,blue shark,Prionace glauca,105801,160424
161,blue shark,Prionace glauca,105801,160424
162,blue shark,Prionace glauca,105801,160424
163,blue shark,Prionace glauca,105801,160424
164,blue shark,Prionace glauca,105801,160424
165,blue shark,Prionace glauca,105801,160424
166,blue shark,Prionace glauca,105801,160424
167,blue shark,Prionace glauca,105801,160424
168,blue shark,Prionace glauca,105801,160424
169,blue shark,Prionace glauca,105801,160424
170,blue shark,Prionace glauca,105801,160424
171,blue shark,Prionace glauca,105801,160424
172,blue shark,Prionace glauca,105801,160424
173,blue shark,Prionace glauca,105801,160424
174,blue shark,Prionace glauca,105801,160424
175,blue shark,Prionace glauca,105801,160424
176,blue shark,Prionace glauca,105801,160424
177,Atlantic salmon,Salmo salar,127186,161996
178,Atlantic salmon,Salmo salar,127186,161996
179,Atlantic salmon,Salmo salar,127186,161996
180,Atlantic salmon,Salmo salar,127186,161996
181,Atlantic salmon,Salmo salar,127186,161996
182,Atlantic salmon,Salmo salar,127186,161996
183,Atlantic salmon,Salmo salar,127186,161996
184,Atlantic salmon,Salmo salar,127186,161996
185,Atlantic salmon,Salmo salar,127186,161996
186,Atlantic salmon,Salmo salar,127186,161996
187,Atlantic salmon,Salmo salar,127186,161996
188,Atlantic salmon,Salmo salar,127186,161996
189,Atlantic salmon,Salmo salar,127186,161996
190,Atlantic salmon,Salmo salar,127186,161996
191,Atlantic salmon,Salmo salar,127186,161996
192,Atlantic salmon,Salmo salar,127186,161996
193,Atlantic salmon,Salmo salar,127186,161996
194,Atlantic salmon,Salmo salar,127186,161996
195,Atlantic salmon,Salmo salar,127186,161996
196,Atlantic salmon,Salmo salar,127186,161996
197,Atlantic salmon,Salmo salar,127186,161996
198,Atlantic salmon,Salmo salar,127186,161996
199,Atlantic salmon,Salmo salar,127186,161996
200,Atlantic salmon,Salmo salar,127186,161996
201,Atlantic salmon,Salmo salar,127186,161996
202,Atlantic salmon,Salmo salar,127186,161996
203,Atlantic salmon,Salmo salar,127186,161996
204,Atlantic salmon,Salmo salar,127186,161996
205,Atlantic salmon,Salmo salar,127186,161996
206,Atlantic salmon,Salmo salar,127186,161996
207,Atlantic salmon,Salmo salar,127186,161996
208,Atlantic salmon,Salmo salar,127186,161996
209,Atlantic salmon,Salmo salar,127186,161996
210,Atlantic salmon,Salmo salar,127186,161996
211,Atlantic salmon,Salmo salar,127186,161996
212,Atlantic salmon,Salmo salar,127186,161996
213,Atlantic salmon,Salmo salar,127186,161996
214,Atlantic salmon,Salmo salar,127186,161996
215,Atlantic salmon,Salmo salar,127186,161996
216,Atlantic salmon,Salmo salar,127186,161996
217,Atlantic salmon,Salmo salar,127186,161996
218,Atlantic salmon,Salmo salar,127186,161996
219,Atlantic salmon,Salmo salar,127186,161996
220,Atlantic salmon,Salmo salar,127186,161996
221,Atlantic salmon,Salmo salar,127186,161996
222,Atlantic salmon,Salmo salar,127186,161996
223,Atlantic salmon,Salmo salar,127186,161996
224,Atlantic salmon,Salmo salar,127186,161996
225,Atlantic salmon,Salmo salar,127186,161996
226,Atlantic salmon,Salmo salar,127186,161996
227,Atlantic salmon,Salmo salar,127186,161996
228,Atlantic salmon,Salmo salar,127186,161996
229,Atlantic salmon,Salmo salar,127186,161996
230,Atlantic salmon,Salmo salar,127186,161996
231,Atlantic salmon,Salmo salar,127186,161996
232,Atlantic salmon,Salmo salar,127186,161996
233,Atlantic salmon,Salmo salar,127186,161996
234,Atlantic salmon,Salmo salar,127186,161996
235,Atlantic salmon,Salmo salar,127186,161996
236,Atlantic salmon,Salmo salar,127186,161996
237,Atlantic salmon,Salmo salar,127186,161996
238,Atlantic salmon,Salmo salar,127186,161996
239,Atlantic salmon,Salmo salar,127186,161996
240,Atlantic salmon,Salmo salar,127186,161996
241,Atlantic salmon,Salmo salar,127186,161996
242,Atlantic salmon,Salmo salar,127186,161996
243,Atlantic salmon,Salmo salar,127186,161996
244,Atlantic salmon,Salmo salar,127186,161996
245,Atlantic salmon,Salmo salar,127186,161996
246,Atlantic salmon,Salmo salar,127186,161996
247,Atlantic salmon,Salmo salar,127186,161996
248,Atlantic salmon,Salmo salar,127186,161996
249,Atlantic salmon,Salmo salar,127186,161996
250,Atlantic salmon,Salmo salar,127186,161996
251,Atlantic salmon,Salmo salar,127186,161996
252,Atlantic salmon,Salmo salar,127186,161996
253,Atlantic salmon,Salmo salar,127186,161996
254,Atlantic salmon,Salmo salar,127186,161996
255,Atlantic salmon,Salmo salar,127186,161996
256,Atlantic salmon,Salmo salar,127186,161996
257,Atlantic salmon,Salmo salar,127186,161996
258,Atlantic salmon,Salmo salar,127186,161996
259,Atlantic salmon,Salmo salar,127186,161996
260,Atlantic salmon,Salmo salar,127186,161996
261,Atlantic salmon,Salmo salar,127186,161996
262,Atlantic salmon,Salmo salar,127186,161996
263,Atlantic salmon,Salmo salar,127186,161996
264,Atlantic salmon,Salmo salar,127186,161996
265,Atlantic salmon,Salmo salar,127186,161996
266,Atlantic salmon,Salmo salar,127186,161996
267,Atlantic salmon,Salmo salar,127186,161996
268,Atlantic salmon,Salmo salar,127186,161996
269,Atlantic salmon,Salmo salar,127186,161996
270,Atlantic salmon,Salmo salar,127186,161996
271,Atlantic salmon,Salmo salar,127186,161996
272,Atlantic salmon,Salmo salar,127186,161996
273,Atlantic salmon,Salmo salar,127186,161996
274,Atlantic salmon,Salmo salar,127186,161996
275,Atlantic salmon,Salmo salar,127186,161996
276,Atlantic salmon,Salmo salar,127186,161996
277,Atlantic salmon,Salmo salar,127186,161996
278,Atlantic salmon,Salmo salar,127186,161996
