platform_reference_id,platform_project_reference,datacenter_reference,platform_type,platform_depth,platform_name,latitude,longitude
,,,,,,degrees_north,degrees_east
SAF-MB002,SAF,OTN-Global,Underwater mooring,21,SAF-MB002,-34.08662,22.19435
SAF-MB013,SAF,OTN-Global,Underwater mooring,48,SAF-MB013,-34.15786,22.24009
SAF-FB001,SAF,OTN-Global,Underwater mooring,41,SAF-FB001,-34.36798,18.81178
SAF-MB014,SAF,OTN-Global,Underwater mooring,50,SAF-MB014,-34.16428,22.24424
SAF-AB001,SAF,OTN-Global,Underwater mooring,20,SAF-AB001,-33.77729,26.31278
SAF-AB002,SAF,OTN-Global,Underwater mooring,20,SAF-AB002,-33.78536,26.31389
SAF-AB003,SAF,OTN-Global,Underwater mooring,28,SAF-AB003,-33.79325,26.3152
SAF-AB004,SAF,OTN-Global,Underwater mooring,28,SAF-AB004,-33.8017,26.31621
SAF-AB005,SAF,OTN-Global,Underwater mooring,30,SAF-AB005,-33.80968,26.31628
SAF-AB006,SAF,OTN-Global,Underwater mooring,31,SAF-AB006,-33.81786,26.31632
SAF-AB007,SAF,OTN-Global,Underwater mooring,29,SAF-AB007,-33.82578,26.31655
SAF-MB001,SAF,OTN-Global,Underwater mooring,15,SAF-MB001,-34.08061,22.1905
SAF-HB005,SAF,OTN-Global,Underwater mooring,82,SAF-HB005,-34.04391,18.27266
SAF-MB003,SAF,OTN-Global,Underwater mooring,27,SAF-MB003,-34.09309,22.1985
SAF-MB004,SAF,OTN-Global,Underwater mooring,31,SAF-MB004,-34.0996,22.20267
SAF-MB005,SAF,OTN-Global,Underwater mooring,35,SAF-MB005,-34.10602,22.20682
KM001,SAF,OTN-Global,Underwater mooring,30.8,KM001,-32.704722,28.384833
SAF-FB002,SAF,OTN-Global,Underwater mooring,54,SAF-FB002,-34.36868,18.80307
SAF-FB003,SAF,OTN-Global,Underwater mooring,61,SAF-FB003,-34.36905,18.79488
SAF-FB004,SAF,OTN-Global,Underwater mooring,73,SAF-FB004,-34.36967,18.7865
SAF-MB006,SAF,OTN-Global,Underwater mooring,37,SAF-MB006,-34.11254,22.211
SAF-MB007,SAF,OTN-Global,Underwater mooring,38,SAF-MB007,-34.1191,22.21518
SAF-FB005,SAF,OTN-Global,Underwater mooring,71,SAF-FB005,-34.37021,18.77812
SAF-HB001,SAF,OTN-Global,Underwater mooring,29,SAF-HB001,-34.04449,18.30325
SAF-HB002,SAF,OTN-Global,Underwater mooring,38,SAF-HB002,-34.04445,18.29575
SAF-GB001,SAF,OTN-Global,Underwater mooring,20,SAF-GB001,-34.06667,22.24215
SAF-GB002,SAF,OTN-Global,Underwater mooring,27,SAF-GB002,-34.07296,22.24687
SAF-GB003,SAF,OTN-Global,Underwater mooring,30,SAF-GB003,-34.07895,22.25137
SAF-CSB001,SAF,OTN-Global,Underwater mooring,25,SAF-CSB001,-34.18228,22.1753
SAF-CSB002,SAF,OTN-Global,Underwater mooring,33,SAF-CSB002,-34.18782,22.1818
SAF-CSB003,SAF,OTN-Global,Underwater mooring,43,SAF-CSB003,-34.19321,22.18766
