release_reference_id,release_project_reference,datacenter_reference,tag_device_id,release_reference_type,latitude,longitude,time,expected_enddate,manufacturer,tag_model,tag_serial_number,tag_coding_system,transmitted_id
,,,,,degrees_north,degrees_east,UTC,UTC,,,,,
GR-ST02,WRS,OTN-Global,V9-2X-1091885-A69-1303-48123,STATION,44.43351,-64.20316,2010-04-21T18:20:43Z,2010-06-22T18:18:38Z,VEMCO,V9-2X,1091885,A69-1303,48123
SMR-ST01,WRS,OTN-Global,V9-2X-1092157-A69-1303-48056,STATION,45.12417,-61.97775,2010-05-04T01:51:40Z,2010-06-23T22:05:52Z,VEMCO,V9-2X,1092157,A69-1303,48056
SMR-ST02,WRS,OTN-Global,V9-2X-1092158-A69-1303-48057,STATION,45.10567,-61.96656,2010-05-04T02:15:55Z,2010-06-23T21:18:03Z,VEMCO,V9-2X,1092158,A69-1303,48057
LR-ST01,WRS,OTN-Global,V9-2X-1092159-A69-1303-48058,STATION,44.36644,-64.48,2010-04-24T21:59:08Z,2010-06-15T22:52:23Z,VEMCO,V9-2X,1092159,A69-1303,48058
LR-ST02,WRS,OTN-Global,V9-2X-1092160-A69-1303-48059,STATION,44.24113,-64.30659,2010-04-23T18:29:18Z,2010-06-19T17:05:03Z,VEMCO,V9-2X,1092160,A69-1303,48059
WRSH-ST01,WRS,OTN-Global,V9-2X-1092554-A69-1303-48012,STATION,44.90864,-62.51151,2010-04-16T17:52:41Z,2010-06-17T20:01:19Z,VEMCO,V9-2X,1092554,A69-1303,48012
WRSH-ST02,WRS,OTN-Global,V9-2X-1092555-A69-1303-48013,STATION,44.86397,-62.48551,2010-04-29T22:53:38Z,2010-06-17T17:32:15Z,VEMCO,V9-2X,1092555,A69-1303,48013
WRS-10569,WRS,OTN-Global,10569,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050442,A69-1303,10569
WRS-10568,WRS,OTN-Global,10568,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050441,A69-1303,10568
WRS-10567,WRS,OTN-Global,10567,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050440,A69-1303,10567
WRS-10566,WRS,OTN-Global,10566,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050439,A69-1303,10566
WRS-10565,WRS,OTN-Global,10565,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050438,A69-1303,10565
WRS-10564,WRS,OTN-Global,10564,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050437,A69-1303,10564
WRS-10563,WRS,OTN-Global,10563,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050436,A69-1303,10563
WRS-10562,WRS,OTN-Global,10562,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050435,A69-1303,10562
WRS-10561,WRS,OTN-Global,10561,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050434,A69-1303,10561
WRS-10560,WRS,OTN-Global,10560,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050433,A69-1303,10560
WRS-10559,WRS,OTN-Global,10559,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050432,A69-1303,10559
WRS-10558,WRS,OTN-Global,10558,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050431,A69-1303,10558
WRS-10557,WRS,OTN-Global,10557,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050430,A69-1303,10557
WRS-10556,WRS,OTN-Global,10556,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050429,A69-1303,10556
WRS-37288,WRS,OTN-Global,A69-1303-37288,ANIMAL,44.53123,-64.69637,2010-05-01T22:00:00Z,2010-10-05T22:00:00Z,VEMCO,V9-1L,1092866,A69-1303,37288
